graph_name;graph_size;edge_percentage;elapsed_time;num_threads
graphs/graph_s16000_p25.grf;16000;24;1.920101;8
graphs/graph_s16000_p50.grf;16000;49;1.983399;8
graphs/graph_s16000_p75.grf;16000;74;1.889131;8
graphs/graph_s16500_p25.grf;16500;24;1.988238;8
graphs/graph_s16500_p50.grf;16500;49;2.046601;8
graphs/graph_s16500_p75.grf;16500;74;1.995963;8
graphs/graph_s17000_p25.grf;17000;24;2.115118;8
graphs/graph_s17000_p50.grf;17000;49;2.192204;8
graphs/graph_s2000_p25.grf;2000;24;0.073355;8
graphs/graph_s2000_p50.grf;2000;49;0.068403;8
graphs/graph_s2000_p75.grf;2000;74;0.073001;8
graphs/graph_s2500_p25.grf;2500;24;0.085855;8
graphs/graph_s2500_p50.grf;2500;49;0.087766;8
graphs/graph_s2500_p75.grf;2500;74;0.086555;8
graphs/graph_s3000_p25.grf;3000;24;0.112052;8
graphs/graph_s3000_p50.grf;3000;49;0.108069;8
graphs/graph_s3000_p75.grf;3000;74;0.108361;8
graphs/graph_s3500_p25.grf;3500;24;0.145684;8
graphs/graph_s3500_p50.grf;3500;49;0.146690;8
graphs/graph_s3500_p75.grf;3500;74;0.151721;8
graphs/graph_s4000_p25.grf;4000;24;0.177245;8
graphs/graph_s4000_p50.grf;4000;49;0.183564;8
graphs/graph_s4000_p75.grf;4000;74;0.179358;8
graphs/graph_s4500_p25.grf;4500;24;0.203632;8
graphs/graph_s4500_p50.grf;4500;49;0.211313;8
graphs/graph_s4500_p75.grf;4500;74;0.211227;8
graphs/graph_s5000_p25.grf;5000;24;0.246632;8
graphs/graph_s5000_p50.grf;5000;49;0.249717;8
graphs/graph_s5000_p75.grf;5000;74;0.246222;8
graphs/graph_s500_p25.grf;500;24;0.050868;8
graphs/graph_s500_p50.grf;500;49;0.030330;8
graphs/graph_s6000_p25.grf;6000;24;0.329054;8
graphs/graph_s6000_p50.grf;6000;49;0.334178;8
graphs/graph_s6000_p75.grf;6000;74;0.333001;8
graphs/graph_s6500_p25.grf;6500;24;0.376908;8
graphs/graph_s6500_p50.grf;6500;49;0.424847;8
graphs/graph_s6500_p75.grf;6500;74;0.379385;8
graphs/graph_s7000_p25.grf;7000;24;0.427291;8
graphs/graph_s7000_p50.grf;7000;49;0.441204;8
graphs/graph_s7000_p75.grf;7000;74;0.435073;8
graphs/graph_s7500_p25.grf;7500;24;0.482362;8
graphs/graph_s7500_p50.grf;7500;49;0.489689;8
graphs/graph_s7500_p75.grf;7500;74;0.486529;8
graphs/graph_s8000_p25.grf;8000;24;0.535956;8
graphs/graph_s8000_p50.grf;8000;49;0.550243;8
graphs/graph_s8000_p75.grf;8000;74;0.546929;8
graphs/graph_s8500_p25.grf;8500;24;0.600333;8
graphs/graph_s8500_p50.grf;8500;49;0.618255;8
graphs/graph_s8500_p75.grf;8500;74;0.611322;8
graphs/graph_s9000_p25.grf;9000;24;0.658062;8
graphs/graph_s9000_p50.grf;9000;49;0.783026;8
graphs/graph_s9000_p75.grf;9000;74;0.828549;8
graphs/graph_s9500_p25.grf;9500;24;0.737601;8
graphs/graph_s9500_p50.grf;9500;49;0.744064;8
graphs/graph_s9500_p75.grf;9500;74;0.738309;8
graphs/graph_s17000_p75.grf;17000;74;2.119101;8
graphs/graph_s18000_p25.grf;18000;24;2.361683;8
graphs/graph_s18000_p50.grf;18000;49;2.441055;8
graphs/graph_s18000_p75.grf;18000;74;2.355663;8
graphs/graph_s18500_p25.grf;18500;24;2.481525;8
graphs/graph_s18500_p50.grf;18500;49;2.537418;8
graphs/graph_s18500_p75.grf;18500;74;2.493054;8
graphs/graph_s10000_p25.grf;10000;24;0.794535;8
graphs/graph_s10000_p50.grf;10000;49;1.815828;8
graphs/graph_s20000_p25.grf;20000;24;4.281758;8
graphs/graph_s20000_p50.grf;20000;49;3.015879;8
graphs/graph_s20000_p75.grf;20000;74;2.901399;8
graphs/graph_s20500_p25.grf;20500;24;3.080172;8
graphs/graph_s20500_p50.grf;20500;49;3.148138;8
graphs/graph_s20500_p75.grf;20500;74;3.080993;8
graphs/graph_s21000_p25.grf;21000;24;3.238194;8
graphs/graph_s21000_p50.grf;21000;49;3.288314;8
graphs/graph_s21000_p75.grf;21000;74;3.244176;8
graphs/graph_s21500_p25.grf;21500;24;3.375984;8
graphs/graph_s21500_p50.grf;21500;49;3.381869;8
graphs/graph_s21500_p75.grf;21500;74;3.379374;8
graphs/graph_s22000_p25.grf;22000;24;3.506021;8
graphs/graph_s22000_p50.grf;22000;49;3.596491;8
graphs/graph_s22000_p75.grf;22000;74;3.549246;8
graphs/graph_s22500_p25.grf;22500;24;3.659567;8
graphs/graph_s22500_p50.grf;22500;49;3.729925;8
graphs/graph_s22500_p75.grf;22500;74;4.548533;8
graphs/graph_s23000_p25.grf;23000;24;3.802944;8
graphs/graph_s23000_p50.grf;23000;49;3.933767;8
graphs/graph_s23000_p75.grf;23000;74;3.889184;8
graphs/graph_s23500_p25.grf;23500;24;4.016259;8
graphs/graph_s23500_p50.grf;23500;49;4.152058;8
graphs/graph_s23500_p75.grf;23500;74;3.976184;8
graphs/graph_s24000_p25.grf;24000;24;4.166059;8
graphs/graph_s24000_p50.grf;24000;49;4.255079;8
graphs/graph_s24000_p75.grf;24000;74;4.188652;8
graphs/graph_s24500_p25.grf;24500;24;4.334434;8
graphs/graph_s24500_p50.grf;24500;49;4.408205;8
graphs/graph_s24500_p75.grf;24500;74;4.355995;8
graphs/graph_s25000_p25.grf;25000;24;4.564373;8
graphs/graph_s25000_p50.grf;25000;49;4.606410;8
graphs/graph_s25000_p75.grf;25000;74;4.545842;8
graphs/graph_s25500_p25.grf;25500;24;4.702732;8
graphs/graph_s25500_p50.grf;25500;49;4.870130;8
graphs/graph_s25500_p75.grf;25500;74;4.748596;8
graphs/graph_s26000_p25.grf;26000;24;4.903066;8
graphs/graph_s26000_p50.grf;26000;49;5.033778;8
graphs/graph_s26000_p75.grf;26000;74;4.934518;8
graphs/graph_s26500_p25.grf;26500;24;5.109578;8
graphs/graph_s26500_p50.grf;26500;49;5.207814;8
graphs/graph_s26500_p75.grf;26500;74;5.219504;8
graphs/graph_s27000_p25.grf;27000;24;5.367768;8
graphs/graph_s27000_p50.grf;27000;49;5.436065;8
graphs/graph_s27000_p75.grf;27000;74;5.273379;8
graphs/graph_s27500_p25.grf;27500;24;5.490943;8
graphs/graph_s27500_p50.grf;27500;49;5.600452;8
graphs/graph_s27500_p75.grf;27500;74;5.537081;8
graphs/graph_s28000_p25.grf;28000;24;5.666198;8
graphs/graph_s28000_p50.grf;28000;49;5.815937;8
graphs/graph_s28000_p75.grf;28000;74;5.722820;8
graphs/graph_s28500_p25.grf;28500;24;5.868546;8
graphs/graph_s28500_p50.grf;28500;49;7.059003;8
graphs/graph_s28500_p75.grf;28500;74;5.847876;8
graphs/graph_s29000_p25.grf;29000;24;6.095624;8
graphs/graph_s29000_p50.grf;29000;49;6.257986;8
graphs/graph_s29000_p75.grf;29000;74;6.109468;8
graphs/graph_s29500_p25.grf;29500;24;6.258716;8
graphs/graph_s29500_p50.grf;29500;49;6.435801;8
graphs/graph_s29500_p75.grf;29500;74;6.338262;8
graphs/graph_s30000_p25.grf;30000;24;6.595255;8
graphs/graph_s30000_p50.grf;30000;49;6.667128;8
graphs/graph_s30000_p75.grf;30000;74;6.603188;8
graphs/graph_s30500_p25.grf;30500;24;6.742934;8
graphs/graph_s30500_p50.grf;30500;49;7.125402;8
graphs/graph_s30500_p75.grf;30500;74;6.890607;8
graphs/graph_s31000_p25.grf;31000;24;6.958437;8
graphs/graph_s31000_p50.grf;31000;49;7.144321;8
graphs/graph_s31000_p75.grf;31000;74;6.965615;8
graphs/graph_s31500_p25.grf;31500;24;7.231891;8
graphs/graph_s31500_p50.grf;31500;49;7.342234;8
graphs/graph_s31500_p75.grf;31500;74;7.252223;8
graphs/graph_s32000_p25.grf;32000;24;7.405867;8
graphs/graph_s32000_p50.grf;32000;49;7.647770;8
graphs/graph_s32000_p75.grf;32000;74;7.485985;8
graphs/graph_s32500_p25.grf;32500;24;7.707069;8
graphs/graph_s32500_p50.grf;32500;49;7.889685;8
graphs/graph_s32500_p75.grf;32500;74;7.784101;8
graphs/graph_s33000_p25.grf;33000;24;7.912904;8
graphs/graph_s33000_p50.grf;33000;49;8.240665;8
graphs/graph_s33000_p75.grf;33000;74;7.919497;8
graphs/graph_s33500_p25.grf;33500;24;9.668323;8
graphs/graph_s33500_p50.grf;33500;49;8.382531;8
graphs/graph_s33500_p75.grf;33500;74;8.185568;8
graphs/graph_s34000_p25.grf;34000;24;8.524998;8
graphs/graph_s34000_p50.grf;34000;49;8.647624;8
graphs/graph_s34000_p75.grf;34000;74;8.517914;8
graphs/graph_s34500_p25.grf;34500;24;8.786498;8
graphs/graph_s34500_p50.grf;34500;49;8.993972;8
graphs/graph_s34500_p75.grf;34500;74;8.664333;8
graphs/graph_s35000_p25.grf;35000;24;9.285573;8
graphs/graph_s35000_p50.grf;35000;49;9.179170;8
graphs/graph_s35000_p75.grf;35000;74;8.954260;8
graphs/graph_s35500_p25.grf;35500;24;9.271954;8
graphs/graph_s35500_p50.grf;35500;49;9.491135;8
graphs/graph_s35500_p75.grf;35500;74;9.248715;8
graphs/graph_s36000_p25.grf;36000;24;9.573945;8
graphs/graph_s36000_p50.grf;36000;49;9.721569;8
graphs/graph_s36000_p75.grf;36000;74;9.624648;8
graphs/graph_s36500_p25.grf;36500;24;10.207125;8
graphs/graph_s36500_p50.grf;36500;49;10.051446;8
graphs/graph_s36500_p75.grf;36500;74;9.831080;8
graphs/graph_s37000_p25.grf;37000;24;10.260052;8
graphs/graph_s37000_p50.grf;37000;49;10.479635;8
graphs/graph_s37000_p75.grf;37000;74;10.214693;8
graphs/graph_s37500_p25.grf;37500;24;10.454852;8
graphs/graph_s37500_p50.grf;37500;49;10.709896;8
graphs/graph_s37500_p75.grf;37500;74;10.499334;8
graphs/graph_s38000_p25.grf;38000;24;10.810392;8
graphs/graph_s38000_p50.grf;38000;49;11.098585;8
graphs/graph_s38000_p75.grf;38000;74;10.750001;8
graphs/graph_s38500_p25.grf;38500;24;11.083709;8
graphs/graph_s38500_p50.grf;38500;49;11.464129;8
graphs/graph_s38500_p75.grf;38500;74;11.160475;8
graphs/graph_s39000_p25.grf;39000;24;11.482113;8
graphs/graph_s39000_p50.grf;39000;49;11.732327;8
graphs/graph_s39000_p75.grf;39000;74;11.526069;8
graphs/graph_s39500_p25.grf;39500;24;11.839961;8
graphs/graph_s39500_p50.grf;39500;49;12.024322;8
graphs/graph_s39500_p75.grf;39500;74;11.974943;8
graphs/graph_s50000_p25.grf;50000;24;20.638065;8
graphs/graph_s50000_p50.grf;50000;49;21.371638;8
graphs/graph_s50500_p25.grf;50500;24;21.589771;8
graphs/graph_s50500_p50.grf;50500;49;21.719471;8
graphs/graph_s50500_p75.grf;50500;74;21.465737;8
graphs/graph_s10500_p75.grf;10500;74;0.861479;8
graphs/graph_s11000_p25.grf;11000;24;0.966060;8
graphs/graph_s11000_p50.grf;11000;49;0.961406;8
graphs/graph_s11000_p75.grf;11000;74;0.956511;8
graphs/graph_s11500_p25.grf;11500;24;1.235921;8
graphs/graph_s11500_p50.grf;11500;49;1.032331;8
graphs/graph_s11500_p75.grf;11500;74;1.035654;8
graphs/graph_s12000_p25.grf;12000;24;1.093043;8
graphs/graph_s12000_p50.grf;12000;49;1.121637;8
graphs/graph_s12000_p75.grf;12000;74;1.089768;8
graphs/graph_s12500_p25.grf;12500;24;1.178779;8
graphs/graph_s12500_p50.grf;12500;49;1.212395;8
graphs/graph_s12500_p75.grf;12500;74;1.209393;8
graphs/graph_s13000_p25.grf;13000;24;1.325547;8
graphs/graph_s13000_p50.grf;13000;49;1.294857;8
graphs/graph_s13000_p75.grf;13000;74;1.277250;8
graphs/graph_s13500_p25.grf;13500;24;1.359231;8
graphs/graph_s13500_p50.grf;13500;49;1.373020;8
graphs/graph_s13500_p75.grf;13500;74;1.380691;8
graphs/graph_s14000_p25.grf;14000;24;1.459405;8
graphs/graph_s14000_p50.grf;14000;49;1.502761;8
graphs/graph_s14000_p75.grf;14000;74;1.505851;8
graphs/graph_s14500_p25.grf;14500;24;1.641977;8
graphs/graph_s14500_p50.grf;14500;49;1.597944;8
graphs/graph_s14500_p75.grf;14500;74;1.550680;8
graphs/graph_s15000_p25.grf;15000;24;1.659960;8
graphs/graph_s15000_p50.grf;15000;49;1.731608;8
graphs/graph_s15000_p75.grf;15000;74;1.676952;8
graphs/graph_s15500_p25.grf;15500;24;1.759594;8
graphs/graph_s15500_p50.grf;15500;49;1.822504;8
graphs/graph_s15500_p75.grf;15500;74;1.768006;8
