graph_name;graph_size;edge_percentage;elapsed_time;num_threads
graphs/graph_s16000_p25.grf;16000;24;5.515849;1
graphs/graph_s16000_p50.grf;16000;49;5.713221;1
graphs/graph_s16000_p75.grf;16000;74;5.555956;1
graphs/graph_s16500_p25.grf;16500;24;5.817019;1
graphs/graph_s16500_p50.grf;16500;49;6.060681;1
graphs/graph_s16500_p75.grf;16500;74;5.891275;1
graphs/graph_s17000_p25.grf;17000;24;6.164064;1
graphs/graph_s17000_p50.grf;17000;49;6.446937;1
graphs/graph_s2000_p25.grf;2000;24;0.060340;1
graphs/graph_s2000_p50.grf;2000;49;0.070162;1
graphs/graph_s2000_p75.grf;2000;74;0.063588;1
graphs/graph_s2500_p25.grf;2500;24;0.101630;1
graphs/graph_s2500_p50.grf;2500;49;0.108043;1
graphs/graph_s2500_p75.grf;2500;74;0.104520;1
graphs/graph_s3000_p25.grf;3000;24;0.161438;1
graphs/graph_s3000_p50.grf;3000;49;0.165800;1
graphs/graph_s3000_p75.grf;3000;74;0.160294;1
graphs/graph_s3500_p25.grf;3500;24;0.220692;1
graphs/graph_s3500_p50.grf;3500;49;0.271086;1
graphs/graph_s3500_p75.grf;3500;74;0.225344;1
graphs/graph_s4000_p25.grf;4000;24;0.298198;1
graphs/graph_s4000_p50.grf;4000;49;0.313424;1
graphs/graph_s4000_p75.grf;4000;74;0.305304;1
graphs/graph_s4500_p25.grf;4500;24;0.383371;1
graphs/graph_s4500_p50.grf;4500;49;0.408703;1
graphs/graph_s4500_p75.grf;4500;74;0.401337;1
graphs/graph_s5000_p25.grf;5000;24;0.492169;1
graphs/graph_s5000_p50.grf;5000;49;0.533527;1
graphs/graph_s5000_p75.grf;5000;74;0.497739;1
graphs/graph_s500_p25.grf;500;24;0.016677;1
graphs/graph_s500_p50.grf;500;49;0.009268;1
graphs/graph_s6000_p25.grf;6000;24;0.720120;1
graphs/graph_s6000_p50.grf;6000;49;0.758865;1
graphs/graph_s6000_p75.grf;6000;74;0.728909;1
graphs/graph_s6500_p25.grf;6500;24;0.858121;1
graphs/graph_s6500_p50.grf;6500;49;0.896944;1
graphs/graph_s6500_p75.grf;6500;74;0.872542;1
graphs/graph_s7000_p25.grf;7000;24;1.008346;1
graphs/graph_s7000_p50.grf;7000;49;1.054389;1
graphs/graph_s7000_p75.grf;7000;74;1.025017;1
graphs/graph_s7500_p25.grf;7500;24;1.163914;1
graphs/graph_s7500_p50.grf;7500;49;1.204835;1
graphs/graph_s7500_p75.grf;7500;74;1.179907;1
graphs/graph_s8000_p25.grf;8000;24;1.327972;1
graphs/graph_s8000_p50.grf;8000;49;1.385766;1
graphs/graph_s8000_p75.grf;8000;74;1.349895;1
graphs/graph_s8500_p25.grf;8500;24;1.490670;1
graphs/graph_s8500_p50.grf;8500;49;1.573801;1
graphs/graph_s8500_p75.grf;8500;74;1.549473;1
graphs/graph_s9000_p25.grf;9000;24;1.691697;1
graphs/graph_s9000_p50.grf;9000;49;1.775496;1
graphs/graph_s9000_p75.grf;9000;74;1.720843;1
graphs/graph_s9500_p25.grf;9500;24;1.891843;1
graphs/graph_s9500_p50.grf;9500;49;1.969054;1
graphs/graph_s9500_p75.grf;9500;74;1.934572;1
graphs/graph_s17000_p75.grf;17000;74;6.288236;1
graphs/graph_s18000_p25.grf;18000;24;7.078555;1
graphs/graph_s18000_p50.grf;18000;49;7.225866;1
graphs/graph_s18000_p75.grf;18000;74;7.037374;1
graphs/graph_s18500_p25.grf;18500;24;7.321775;1
graphs/graph_s18500_p50.grf;18500;49;7.616445;1
graphs/graph_s18500_p75.grf;18500;74;7.430511;1
graphs/graph_s10000_p25.grf;10000;24;2.086688;1
graphs/graph_s10000_p50.grf;10000;49;0.895662;1
graphs/graph_s20000_p25.grf;20000;24;9.184874;1
graphs/graph_s20000_p50.grf;20000;49;9.002763;1
graphs/graph_s20000_p75.grf;20000;74;8.744760;1
graphs/graph_s20500_p25.grf;20500;24;9.053561;1
graphs/graph_s20500_p50.grf;20500;49;9.537341;1
graphs/graph_s20500_p75.grf;20500;74;9.204854;1
graphs/graph_s21000_p25.grf;21000;24;9.550760;1
graphs/graph_s21000_p50.grf;21000;49;9.877293;1
graphs/graph_s21000_p75.grf;21000;74;9.676776;1
graphs/graph_s21500_p25.grf;21500;24;9.981327;1
graphs/graph_s21500_p50.grf;21500;49;10.411977;1
graphs/graph_s21500_p75.grf;21500;74;10.092431;1
graphs/graph_s22000_p25.grf;22000;24;10.409194;1
graphs/graph_s22000_p50.grf;22000;49;10.864167;1
graphs/graph_s22000_p75.grf;22000;74;10.561050;1
graphs/graph_s22500_p25.grf;22500;24;10.923624;1
graphs/graph_s22500_p50.grf;22500;49;11.365057;1
graphs/graph_s22500_p75.grf;22500;74;11.076460;1
graphs/graph_s23000_p25.grf;23000;24;11.412841;1
graphs/graph_s23000_p50.grf;23000;49;11.940842;1
graphs/graph_s23000_p75.grf;23000;74;11.633561;1
graphs/graph_s23500_p25.grf;23500;24;11.884231;1
graphs/graph_s23500_p50.grf;23500;49;12.446709;1
graphs/graph_s23500_p75.grf;23500;74;12.061663;1
graphs/graph_s24000_p25.grf;24000;24;12.517549;1
graphs/graph_s24000_p50.grf;24000;49;12.932308;1
graphs/graph_s24000_p75.grf;24000;74;12.613448;1
graphs/graph_s24500_p25.grf;24500;24;12.997679;1
graphs/graph_s24500_p50.grf;24500;49;13.539350;1
graphs/graph_s24500_p75.grf;24500;74;13.208519;1
graphs/graph_s25000_p25.grf;25000;24;13.627221;1
graphs/graph_s25000_p50.grf;25000;49;14.156767;1
graphs/graph_s25000_p75.grf;25000;74;13.767053;1
graphs/graph_s25500_p25.grf;25500;24;14.022767;1
graphs/graph_s25500_p50.grf;25500;49;14.705449;1
graphs/graph_s25500_p75.grf;25500;74;14.338035;1
graphs/graph_s26000_p25.grf;26000;24;14.662636;1
graphs/graph_s26000_p50.grf;26000;49;15.287276;1
graphs/graph_s26000_p75.grf;26000;74;14.875697;1
graphs/graph_s26500_p25.grf;26500;24;15.350164;1
graphs/graph_s26500_p50.grf;26500;49;15.848165;1
graphs/graph_s26500_p75.grf;26500;74;15.577583;1
graphs/graph_s27000_p25.grf;27000;24;16.001364;1
graphs/graph_s27000_p50.grf;27000;49;16.493248;1
graphs/graph_s27000_p75.grf;27000;74;15.992283;1
graphs/graph_s27500_p25.grf;27500;24;16.448976;1
graphs/graph_s27500_p50.grf;27500;49;17.024854;1
graphs/graph_s27500_p75.grf;27500;74;16.763160;1
graphs/graph_s28000_p25.grf;28000;24;17.204668;1
graphs/graph_s28000_p50.grf;28000;49;17.706468;1
graphs/graph_s28000_p75.grf;28000;74;17.319521;1
graphs/graph_s28500_p25.grf;28500;24;17.751122;1
graphs/graph_s28500_p50.grf;28500;49;18.439452;1
graphs/graph_s28500_p75.grf;28500;74;17.926681;1
graphs/graph_s29000_p25.grf;29000;24;18.434178;1
graphs/graph_s29000_p50.grf;29000;49;19.135929;1
graphs/graph_s29000_p75.grf;29000;74;18.681364;1
graphs/graph_s29500_p25.grf;29500;24;19.105871;1
graphs/graph_s29500_p50.grf;29500;49;19.822352;1
graphs/graph_s29500_p75.grf;29500;74;19.297583;1
graphs/graph_s30000_p25.grf;30000;24;19.815568;1
graphs/graph_s30000_p50.grf;30000;49;20.562624;1
graphs/graph_s30000_p75.grf;30000;74;20.027622;1
graphs/graph_s30500_p25.grf;30500;24;20.398579;1
graphs/graph_s30500_p50.grf;30500;49;21.227826;1
graphs/graph_s30500_p75.grf;30500;74;20.766587;1
graphs/graph_s31000_p25.grf;31000;24;21.079602;1
graphs/graph_s31000_p50.grf;31000;49;21.925848;1
graphs/graph_s31000_p75.grf;31000;74;21.454460;1
graphs/graph_s31500_p25.grf;31500;24;21.709279;1
graphs/graph_s31500_p50.grf;31500;49;22.697099;1
graphs/graph_s31500_p75.grf;31500;74;22.138584;1
graphs/graph_s32000_p25.grf;32000;24;22.575067;1
graphs/graph_s32000_p50.grf;32000;49;23.722822;1
graphs/graph_s32000_p75.grf;32000;74;22.973440;1
graphs/graph_s32500_p25.grf;32500;24;23.286552;1
graphs/graph_s32500_p50.grf;32500;49;24.321571;1
graphs/graph_s32500_p75.grf;32500;74;23.804259;1
graphs/graph_s33000_p25.grf;33000;24;24.009399;1
graphs/graph_s33000_p50.grf;33000;49;25.037840;1
graphs/graph_s33000_p75.grf;33000;74;24.347241;1
graphs/graph_s33500_p25.grf;33500;24;24.848583;1
graphs/graph_s33500_p50.grf;33500;49;25.703707;1
graphs/graph_s33500_p75.grf;33500;74;25.162548;1
graphs/graph_s34000_p25.grf;34000;24;25.704220;1
graphs/graph_s34000_p50.grf;34000;49;26.602586;1
graphs/graph_s34000_p75.grf;34000;74;26.070065;1
graphs/graph_s34500_p25.grf;34500;24;26.658772;1
graphs/graph_s34500_p50.grf;34500;49;27.692430;1
graphs/graph_s34500_p75.grf;34500;74;26.901599;1
graphs/graph_s35000_p25.grf;35000;24;27.300395;1
graphs/graph_s35000_p50.grf;35000;49;28.347093;1
graphs/graph_s35000_p75.grf;35000;74;27.554342;1
graphs/graph_s35500_p25.grf;35500;24;28.335767;1
graphs/graph_s35500_p50.grf;35500;49;29.098455;1
graphs/graph_s35500_p75.grf;35500;74;28.558255;1
graphs/graph_s36000_p25.grf;36000;24;29.094022;1
graphs/graph_s36000_p50.grf;36000;49;30.368921;1
graphs/graph_s36000_p75.grf;36000;74;29.507073;1
graphs/graph_s36500_p25.grf;36500;24;29.894061;1
graphs/graph_s36500_p50.grf;36500;49;31.370529;1
graphs/graph_s36500_p75.grf;36500;74;30.500227;1
graphs/graph_s37000_p25.grf;37000;24;30.856789;1
graphs/graph_s37000_p50.grf;37000;49;32.243811;1
graphs/graph_s37000_p75.grf;37000;74;31.586150;1
graphs/graph_s37500_p25.grf;37500;24;32.272397;1
graphs/graph_s37500_p50.grf;37500;49;33.247173;1
graphs/graph_s37500_p75.grf;37500;74;32.625068;1
graphs/graph_s38000_p25.grf;38000;24;32.789801;1
graphs/graph_s38000_p50.grf;38000;49;34.297353;1
graphs/graph_s38000_p75.grf;38000;74;33.377530;1
graphs/graph_s38500_p25.grf;38500;24;33.883476;1
graphs/graph_s38500_p50.grf;38500;49;35.187763;1
graphs/graph_s38500_p75.grf;38500;74;34.568527;1
graphs/graph_s39000_p25.grf;39000;24;34.938559;1
graphs/graph_s39000_p50.grf;39000;49;36.149558;1
graphs/graph_s39000_p75.grf;39000;74;35.423253;1
graphs/graph_s39500_p25.grf;39500;24;35.877812;1
graphs/graph_s39500_p50.grf;39500;49;37.179113;1
graphs/graph_s39500_p75.grf;39500;74;36.329057;1
graphs/graph_s50000_p25.grf;50000;24;61.567304;1
graphs/graph_s50000_p50.grf;50000;49;63.896714;1
graphs/graph_s50500_p25.grf;50500;24;63.267310;1
graphs/graph_s50500_p50.grf;50500;49;65.254468;1
graphs/graph_s50500_p75.grf;50500;74;64.191812;1
graphs/graph_s10500_p75.grf;10500;74;2.333512;1
graphs/graph_s11000_p25.grf;11000;24;2.528406;1
graphs/graph_s11000_p50.grf;11000;49;2.655659;1
graphs/graph_s11000_p75.grf;11000;74;2.575274;1
graphs/graph_s11500_p25.grf;11500;24;2.776551;1
graphs/graph_s11500_p50.grf;11500;49;2.898931;1
graphs/graph_s11500_p75.grf;11500;74;2.838445;1
graphs/graph_s12000_p25.grf;12000;24;3.038086;1
