graph_name;graph_size;edge_percentage;elapsed_time;num_threads
graphs/graph_s16000_p25.grf;16000;24;3.919699;2
graphs/graph_s16000_p50.grf;16000;49;4.004588;2
graphs/graph_s16000_p75.grf;16000;74;3.874764;2
graphs/graph_s16500_p25.grf;16500;24;4.141898;2
graphs/graph_s16500_p50.grf;16500;49;4.248444;2
graphs/graph_s16500_p75.grf;16500;74;4.173042;2
graphs/graph_s17000_p25.grf;17000;24;4.369664;2
graphs/graph_s17000_p50.grf;17000;49;4.523340;2
graphs/graph_s2000_p25.grf;2000;24;0.054150;2
graphs/graph_s2000_p50.grf;2000;49;0.057905;2
graphs/graph_s2000_p75.grf;2000;74;0.058240;2
graphs/graph_s2500_p25.grf;2500;24;0.086337;2
graphs/graph_s2500_p50.grf;2500;49;0.089599;2
graphs/graph_s2500_p75.grf;2500;74;0.085322;2
graphs/graph_s3000_p25.grf;3000;24;0.127973;2
graphs/graph_s3000_p50.grf;3000;49;0.135816;2
graphs/graph_s3000_p75.grf;3000;74;0.127822;2
graphs/graph_s3500_p25.grf;3500;24;0.178689;2
graphs/graph_s3500_p50.grf;3500;49;0.185998;2
graphs/graph_s3500_p75.grf;3500;74;0.172614;2
graphs/graph_s4000_p25.grf;4000;24;0.234520;2
graphs/graph_s4000_p50.grf;4000;49;0.245903;2
graphs/graph_s4000_p75.grf;4000;74;0.236451;2
graphs/graph_s4500_p25.grf;4500;24;0.287580;2
graphs/graph_s4500_p50.grf;4500;49;0.333413;2
graphs/graph_s4500_p75.grf;4500;74;0.295117;2
graphs/graph_s5000_p25.grf;5000;24;0.376045;2
graphs/graph_s5000_p50.grf;5000;49;0.381474;2
graphs/graph_s5000_p75.grf;5000;74;0.357212;2
graphs/graph_s500_p25.grf;500;24;0.019277;2
graphs/graph_s500_p50.grf;500;49;0.020405;2
graphs/graph_s6000_p25.grf;6000;24;0.536170;2
graphs/graph_s6000_p50.grf;6000;49;0.553377;2
graphs/graph_s6000_p75.grf;6000;74;0.523480;2
graphs/graph_s6500_p25.grf;6500;24;0.623308;2
graphs/graph_s6500_p50.grf;6500;49;0.654693;2
graphs/graph_s6500_p75.grf;6500;74;0.620887;2
graphs/graph_s7000_p25.grf;7000;24;0.729119;2
graphs/graph_s7000_p50.grf;7000;49;0.768997;2
graphs/graph_s7000_p75.grf;7000;74;0.719080;2
graphs/graph_s7500_p25.grf;7500;24;0.835692;2
graphs/graph_s7500_p50.grf;7500;49;0.855030;2
graphs/graph_s7500_p75.grf;7500;74;0.826889;2
graphs/graph_s8000_p25.grf;8000;24;0.965480;2
graphs/graph_s8000_p50.grf;8000;49;0.980609;2
graphs/graph_s8000_p75.grf;8000;74;0.977977;2
graphs/graph_s8500_p25.grf;8500;24;1.090494;2
graphs/graph_s8500_p50.grf;8500;49;1.136582;2
graphs/graph_s8500_p75.grf;8500;74;1.121033;2
graphs/graph_s9000_p25.grf;9000;24;1.202957;2
graphs/graph_s9000_p50.grf;9000;49;1.271789;2
graphs/graph_s9000_p75.grf;9000;74;1.223106;2
graphs/graph_s9500_p25.grf;9500;24;1.379989;2
graphs/graph_s9500_p50.grf;9500;49;1.398796;2
graphs/graph_s9500_p75.grf;9500;74;1.355860;2
graphs/graph_s17000_p75.grf;17000;74;4.398579;2
graphs/graph_s18000_p25.grf;18000;24;4.979473;2
graphs/graph_s18000_p50.grf;18000;49;5.074873;2
graphs/graph_s18000_p75.grf;18000;74;4.898450;2
graphs/graph_s18500_p25.grf;18500;24;5.278719;2
graphs/graph_s18500_p50.grf;18500;49;5.406318;2
graphs/graph_s18500_p75.grf;18500;74;5.121172;2
graphs/graph_s10000_p25.grf;10000;24;1.491856;2
graphs/graph_s10000_p50.grf;10000;49;1.241081;2
graphs/graph_s20000_p25.grf;20000;24;6.623801;2
graphs/graph_s20000_p50.grf;20000;49;6.297492;2
graphs/graph_s20000_p75.grf;20000;74;6.081820;2
graphs/graph_s20500_p25.grf;20500;24;6.473990;2
graphs/graph_s20500_p50.grf;20500;49;6.627998;2
graphs/graph_s20500_p75.grf;20500;74;6.343040;2
graphs/graph_s21000_p25.grf;21000;24;6.766627;2
graphs/graph_s21000_p50.grf;21000;49;6.962072;2
graphs/graph_s21000_p75.grf;21000;74;6.740994;2
graphs/graph_s21500_p25.grf;21500;24;7.101962;2
graphs/graph_s21500_p50.grf;21500;49;7.234060;2
graphs/graph_s21500_p75.grf;21500;74;7.015639;2
graphs/graph_s22000_p25.grf;22000;24;7.403679;2
graphs/graph_s22000_p50.grf;22000;49;7.565509;2
graphs/graph_s22000_p75.grf;22000;74;7.530161;2
graphs/graph_s22500_p25.grf;22500;24;7.709851;2
graphs/graph_s22500_p50.grf;22500;49;7.994604;2
