graph_name;graph_size;edge_percentage;elapsed_time;num_threads
graphs/graph_s16000_p25.grf;16000;24;2.455733;4
graphs/graph_s16000_p50.grf;16000;49;2.541442;4
graphs/graph_s16000_p75.grf;16000;74;2.468221;4
graphs/graph_s16500_p25.grf;16500;24;2.592820;4
graphs/graph_s16500_p50.grf;16500;49;2.707413;4
graphs/graph_s16500_p75.grf;16500;74;2.606839;4
graphs/graph_s17000_p25.grf;17000;24;2.768611;4
graphs/graph_s17000_p50.grf;17000;49;2.907562;4
graphs/graph_s2000_p25.grf;2000;24;0.049354;4
graphs/graph_s2000_p50.grf;2000;49;0.054740;4
graphs/graph_s2000_p75.grf;2000;74;0.049431;4
graphs/graph_s2500_p25.grf;2500;24;0.070326;4
graphs/graph_s2500_p50.grf;2500;49;0.071794;4
graphs/graph_s2500_p75.grf;2500;74;0.069907;4
graphs/graph_s3000_p25.grf;3000;24;0.093544;4
graphs/graph_s3000_p50.grf;3000;49;0.097080;4
graphs/graph_s3000_p75.grf;3000;74;0.094639;4
graphs/graph_s3500_p25.grf;3500;24;0.123681;4
graphs/graph_s3500_p50.grf;3500;49;0.128918;4
graphs/graph_s3500_p75.grf;3500;74;0.128539;4
graphs/graph_s4000_p25.grf;4000;24;0.159543;4
graphs/graph_s4000_p50.grf;4000;49;0.165917;4
graphs/graph_s4000_p75.grf;4000;74;0.163580;4
graphs/graph_s4500_p25.grf;4500;24;0.202243;4
graphs/graph_s4500_p50.grf;4500;49;0.228864;4
graphs/graph_s4500_p75.grf;4500;74;0.205128;4
graphs/graph_s5000_p25.grf;5000;24;0.254576;4
graphs/graph_s5000_p50.grf;5000;49;0.258226;4
graphs/graph_s5000_p75.grf;5000;74;0.272010;4
graphs/graph_s500_p25.grf;500;24;0.021512;4
graphs/graph_s500_p50.grf;500;49;0.013428;4
graphs/graph_s6000_p25.grf;6000;24;0.355014;4
graphs/graph_s6000_p50.grf;6000;49;0.359066;4
graphs/graph_s6000_p75.grf;6000;74;0.348401;4
graphs/graph_s6500_p25.grf;6500;24;0.418120;4
graphs/graph_s6500_p50.grf;6500;49;0.426192;4
graphs/graph_s6500_p75.grf;6500;74;0.414101;4
graphs/graph_s7000_p25.grf;7000;24;0.479333;4
graphs/graph_s7000_p50.grf;7000;49;0.500032;4
graphs/graph_s7000_p75.grf;7000;74;0.477182;4
graphs/graph_s7500_p25.grf;7500;24;0.563088;4
graphs/graph_s7500_p50.grf;7500;49;0.562321;4
graphs/graph_s7500_p75.grf;7500;74;0.544632;4
graphs/graph_s8000_p25.grf;8000;24;0.624770;4
graphs/graph_s8000_p50.grf;8000;49;0.661246;4
graphs/graph_s8000_p75.grf;8000;74;0.633069;4
graphs/graph_s8500_p25.grf;8500;24;0.698887;4
graphs/graph_s8500_p50.grf;8500;49;0.737838;4
graphs/graph_s8500_p75.grf;8500;74;0.697559;4
graphs/graph_s9000_p25.grf;9000;24;0.813061;4
graphs/graph_s9000_p50.grf;9000;49;0.830526;4
graphs/graph_s9000_p75.grf;9000;74;0.795001;4
graphs/graph_s9500_p25.grf;9500;24;0.882741;4
graphs/graph_s9500_p50.grf;9500;49;0.920398;4
graphs/graph_s9500_p75.grf;9500;74;0.888610;4
