graph_name;graph_size;graph_root;elapsed_time;implementation_type
graphs/graph_s1190_p40.grf;1190;1013;0.016068;ST
graphs/graph_s1192_p40.grf;1192;1088;0.016365;ST
graphs/graph_s1194_p40.grf;1194;235;0.016179;ST
graphs/graph_s1196_p40.grf;1196;820;0.028473;ST
graphs/graph_s1198_p40.grf;1198;437;0.016478;ST
graphs/graph_s1200_p40.grf;1200;261;0.016376;ST
graphs/graph_s1202_p40.grf;1202;274;0.016754;ST
graphs/graph_s1204_p40.grf;1204;458;0.034118;ST
graphs/graph_s1206_p40.grf;1206;795;0.050698;ST
graphs/graph_s1208_p40.grf;1208;60;0.035653;ST
graphs/graph_s120_p40.grf;120;94;0.000165;ST
graphs/graph_s1210_p40.grf;1210;647;0.021687;ST
graphs/graph_s1212_p40.grf;1212;122;0.017317;ST
graphs/graph_s1214_p40.grf;1214;887;0.017951;ST
graphs/graph_s1216_p40.grf;1216;500;0.020614;ST
graphs/graph_s1218_p40.grf;1218;154;0.027044;ST
graphs/graph_s1220_p40.grf;1220;1050;0.017814;ST
graphs/graph_s1222_p40.grf;1222;734;0.017040;ST
graphs/graph_s1224_p40.grf;1224;405;0.019563;ST
graphs/graph_s1226_p40.grf;1226;45;0.017451;ST
graphs/graph_s1228_p40.grf;1228;863;0.019090;ST
graphs/graph_s122_p40.grf;122;41;0.000169;ST
graphs/graph_s1230_p40.grf;1230;389;0.020866;ST
graphs/graph_s1232_p40.grf;1232;1061;0.031600;ST
graphs/graph_s1234_p40.grf;1234;401;0.018595;ST
graphs/graph_s1236_p40.grf;1236;579;0.028753;ST
graphs/graph_s1238_p40.grf;1238;851;0.017444;ST
graphs/graph_s1240_p40.grf;1240;629;0.017592;ST
graphs/graph_s1242_p40.grf;1242;1142;0.017834;ST
graphs/graph_s1244_p40.grf;1244;1141;0.017808;ST
graphs/graph_s1246_p40.grf;1246;614;0.017518;ST
graphs/graph_s1248_p40.grf;1248;796;0.017691;ST
graphs/graph_s124_p40.grf;124;92;0.000188;ST
graphs/graph_s1250_p40.grf;1250;432;0.018108;ST
graphs/graph_s1252_p40.grf;1252;761;0.018453;ST
graphs/graph_s1254_p40.grf;1254;524;0.018432;ST
graphs/graph_s1256_p40.grf;1256;964;0.018652;ST
graphs/graph_s1258_p40.grf;1258;818;0.018492;ST
graphs/graph_s1260_p40.grf;1260;74;0.018759;ST
graphs/graph_s1262_p40.grf;1262;1242;0.018260;ST
graphs/graph_s1264_p40.grf;1264;533;0.018030;ST
graphs/graph_s1266_p40.grf;1266;459;0.017979;ST
graphs/graph_s1268_p40.grf;1268;1014;0.018143;ST
graphs/graph_s126_p40.grf;126;104;0.000179;ST
graphs/graph_s1270_p40.grf;1270;923;0.018796;ST
graphs/graph_s1272_p40.grf;1272;174;0.018548;ST
graphs/graph_s1274_p40.grf;1274;28;0.018654;ST
graphs/graph_s1276_p40.grf;1276;479;0.017993;ST
graphs/graph_s1278_p40.grf;1278;437;0.018811;ST
graphs/graph_s1280_p40.grf;1280;1105;0.018512;ST
graphs/graph_s1282_p40.grf;1282;960;0.018674;ST
graphs/graph_s1284_p40.grf;1284;1255;0.018527;ST
graphs/graph_s1286_p40.grf;1286;681;0.019050;ST
graphs/graph_s1288_p40.grf;1288;495;0.018952;ST
graphs/graph_s128_p40.grf;128;99;0.000194;ST
graphs/graph_s1290_p40.grf;1290;673;0.039672;ST
graphs/graph_s1292_p40.grf;1292;1191;0.019695;ST
graphs/graph_s1294_p40.grf;1294;732;0.019518;ST
graphs/graph_s1296_p40.grf;1296;561;0.031655;ST
graphs/graph_s1298_p40.grf;1298;654;0.019560;ST
graphs/graph_s12_p40.grf;12;11;0.000005;ST
graphs/graph_s1300_p40.grf;1300;987;0.024676;ST
graphs/graph_s1302_p40.grf;1302;235;0.019692;ST
graphs/graph_s1304_p40.grf;1304;974;0.020103;ST
graphs/graph_s1306_p40.grf;1306;576;0.019440;ST
graphs/graph_s1308_p40.grf;1308;318;0.019533;ST
graphs/graph_s130_p40.grf;130;117;0.000200;ST
graphs/graph_s1310_p40.grf;1310;176;0.020003;ST
graphs/graph_s1312_p40.grf;1312;126;0.019578;ST
graphs/graph_s1314_p40.grf;1314;144;0.019634;ST
graphs/graph_s1316_p40.grf;1316;206;0.020009;ST
graphs/graph_s1318_p40.grf;1318;529;0.020613;ST
graphs/graph_s1320_p40.grf;1320;7;0.022445;ST
graphs/graph_s1322_p40.grf;1322;715;0.026256;ST
graphs/graph_s1324_p40.grf;1324;1318;0.020455;ST
graphs/graph_s1326_p40.grf;1326;473;0.023631;ST
graphs/graph_s1328_p40.grf;1328;810;0.024021;ST
graphs/graph_s132_p40.grf;132;98;0.000210;ST
graphs/graph_s1330_p40.grf;1330;988;0.020702;ST
graphs/graph_s1332_p40.grf;1332;989;0.021333;ST
graphs/graph_s1334_p40.grf;1334;795;0.022911;ST
graphs/graph_s1336_p40.grf;1336;388;0.021495;ST
graphs/graph_s1338_p40.grf;1338;1087;0.021477;ST
graphs/graph_s1340_p40.grf;1340;341;0.021140;ST
graphs/graph_s1342_p40.grf;1342;89;0.021846;ST
